ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11663620,JC234564,04/22/2019 09:40:00 PM,071XX W ADDISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1632,16.0,38.0,17.0,08B,1127621.0,1923090.0,2019,04/29/2019 04:18:19 PM,41.945278252,-87.80632303200001,"(41.945278252, -87.806323032)",39.0,22254.0,17.0,444.0,19.0,52.0,12.0,17.0
11663522,JC234505,04/22/2019 09:36:00 PM,014XX W 73RD ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,True,734,7.0,17.0,67.0,04A,1167931.0,1856337.0,2019,04/29/2019 04:18:19 PM,41.761326418,-87.660082065,"(41.761326418, -87.660082065)",17.0,22257.0,65.0,432.0,31.0,23.0,17.0,216.0
11663567,JC234521,04/22/2019 09:33:00 PM,029XX W FLETCHER ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,1411,14.0,33.0,21.0,15,1156389.0,1920802.0,2019,04/29/2019 04:18:19 PM,41.938465766,-87.70064395600001,"(41.938465766, -87.700643956)",2.0,21538.0,22.0,465.0,20.0,39.0,7.0,174.0
11663584,JC234511,04/22/2019 09:31:00 PM,074XX S STONY ISLAND AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,True,False,324,3.0,8.0,43.0,18,1188209.0,1856107.0,2019,04/29/2019 04:18:19 PM,41.760235732,-87.585769646,"(41.760235732, -87.585769646)",9.0,22538.0,39.0,419.0,35.0,24.0,18.0,217.0
11663673,JC234636,04/22/2019 09:30:00 PM,027XX E 79TH ST,0820,THEFT,$500 AND UNDER,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",False,False,421,4.0,7.0,43.0,06,1195958.0,1853119.0,2019,04/29/2019 04:18:19 PM,41.751848142,-87.557468736,"(41.751848142, -87.557468736)",43.0,21202.0,42.0,244.0,37.0,25.0,19.0,234.0
11664254,JC235269,04/22/2019 09:30:00 PM,001XX W LAKE ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,CTA STATION,False,False,122,1.0,42.0,32.0,26,1175301.0,1901735.0,2019,04/29/2019 04:18:19 PM,41.885741029,-87.63171174899999,"(41.885741029, -87.631711749)",22.0,14309.0,38.0,92.0,36.0,42.0,22.0,79.0
11663526,JC234514,04/22/2019 09:29:00 PM,024XX W ADAMS ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,ALLEY,True,False,1125,11.0,27.0,28.0,18,1160139.0,1898986.0,2019,04/29/2019 04:18:19 PM,41.878524202,-87.687465556,"(41.878524202, -87.687465556)",48.0,21184.0,29.0,785.0,46.0,28.0,16.0,138.0
11663658,JC234507,04/22/2019 09:29:00 PM,132XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,433,4.0,10.0,55.0,14,1202077.0,1817796.0,2019,04/29/2019 04:18:19 PM,41.654765253,-87.53624403100001,"(41.654765253, -87.536244031)",47.0,22250.0,52.0,787.0,47.0,26.0,19.0,259.0
11663602,JC234495,04/22/2019 09:26:00 PM,013XX N MENARD AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,2531,25.0,29.0,25.0,04B,1137435.0,1908420.0,2019,04/29/2019 04:18:19 PM,41.904850889,-87.77060373200001,"(41.904850889, -87.770603732)",52.0,4299.0,26.0,565.0,7.0,5.0,6.0,154.0
11663553,JC234512,04/22/2019 09:24:00 PM,012XX W 49TH ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,VEHICLE NON-COMMERCIAL,True,False,933,9.0,20.0,61.0,24,1169054.0,1872293.0,2019,04/29/2019 04:18:19 PM,41.805087404,-87.655505174,"(41.805087404, -87.655505174)",53.0,14924.0,59.0,739.0,4.0,37.0,23.0,118.0
